,precision,recall,f1-score,support
Exact,0.5779376498800959,0.723,0.6423811639271435,1000.0
Substitute,0.5682704811443433,0.437,0.49406444318824194,1000.0
Complement,0.8570048309178744,0.887,0.8717444717444718,1000.0
Irrelevant,0.6391534391534391,0.604,0.6210796915167095,1000.0
accuracy,0.66275,0.66275,0.66275,0.66275
macro avg,0.6605916002739383,0.66275,0.6573174425941417,4000.0
weighted avg,0.6605916002739382,0.66275,0.6573174425941418,4000.0
