,precision,recall,f1-score,support
Exact,0.6594265855777585,0.759,0.705718270571827,1000.0
Substitute,0.5983086680761099,0.566,0.5817060637204522,1000.0
Complement,0.8611111111111112,0.806,0.8326446280991735,1000.0
Irrelevant,0.7290589451913133,0.705,0.7168276563294357,1000.0
accuracy,0.709,0.709,0.709,0.709
macro avg,0.7119763274890732,0.7090000000000001,0.709224154680222,4000.0
weighted avg,0.7119763274890732,0.709,0.7092241546802222,4000.0
