,precision,recall,f1-score,support
Exact,0.6609865470852018,0.737,0.6969267139479906,1000.0
Substitute,0.6387362637362637,0.465,0.5381944444444444,1000.0
Complement,0.8957055214723927,0.876,0.8857431749241659,1000.0
Irrelevant,0.631891433418151,0.745,0.6837999082147774,1000.0
accuracy,0.70575,0.70575,0.70575,0.70575
macro avg,0.7068299414280024,0.70575,0.7011660603828447,4000.0
weighted avg,0.7068299414280023,0.70575,0.7011660603828447,4000.0
