,precision,recall,f1-score,support
Exact,0.6263463131731566,0.756,0.6850928862709561,1000.0
Substitute,0.6160388821385177,0.507,0.5562260010970927,1000.0
Complement,0.9124236252545825,0.896,0.9041372351160444,1000.0
Irrelevant,0.6831983805668016,0.675,0.6790744466800804,1000.0
accuracy,0.7085,0.7085,0.7085,0.7085
macro avg,0.7095018002832646,0.7084999999999999,0.7061326422910434,4000.0
weighted avg,0.7095018002832645,0.7085,0.7061326422910433,4000.0
