,precision,recall,f1-score,support
Exact,0.6045958795562599,0.763,0.6746242263483643,1000.0
Substitute,0.60375,0.483,0.5366666666666666,1000.0
Complement,0.8838133068520357,0.89,0.8868958644743398,1000.0
Irrelevant,0.6842105263157895,0.637,0.6597617814603832,1000.0
accuracy,0.69325,0.69325,0.69325,0.69325
macro avg,0.6940924281810212,0.69325,0.6894871347374384,4000.0
weighted avg,0.6940924281810213,0.69325,0.6894871347374384,4000.0
